Dataset,Mixture 1,Mixture 2,Overlap,Experimental Values
Snitz 1,1,2,0.0,0.604166666667
Snitz 1,1,3,0.0,0.6510416666669999
Snitz 1,1,4,0.0,0.526041666667
Snitz 1,1,5,0.0,0.505208333333
Snitz 1,1,6,0.0,0.41145833333299997
Snitz 1,1,7,0.0,0.5625
Snitz 1,8,2,0.0,0.7552083333330001
Snitz 1,8,3,0.0,0.6848958333330001
Snitz 1,8,4,0.0,0.8489583333330001
Snitz 1,8,5,0.0,0.765625
Snitz 1,8,6,0.0,0.8072916666669999
Snitz 1,8,7,0.0,0.9010416666669999
Snitz 1,9,2,0.0,0.567708333333
Snitz 1,9,3,0.0,0.671875
Snitz 1,9,4,0.0,0.42447916666700003
Snitz 1,9,5,0.0,0.390625
Snitz 1,9,6,0.0,0.44791666666700003
Snitz 1,9,7,0.0,0.619791666667
Snitz 1,10,2,0.0,0.567708333333
Snitz 1,10,3,0.0,0.6510416666669999
Snitz 1,10,4,0.0,0.541666666667
Snitz 1,10,5,0.0,0.36979166666700003
Snitz 1,10,6,0.0,0.41145833333299997
Snitz 1,10,7,0.0,0.45833333333299997
Snitz 1,11,2,0.0,0.510416666667
Snitz 1,11,3,0.0,0.7135416666669999
Snitz 1,11,4,0.0,0.46875
Snitz 1,11,5,0.0,0.34375
Snitz 1,11,6,0.0,0.38020833333299997
Snitz 1,11,7,0.0,0.552083333333
Snitz 1,12,2,0.0,0.7708333333330001
Snitz 1,12,3,0.0,0.765625
Snitz 1,12,4,0.0,0.6979166666669999
Snitz 1,12,5,0.0,0.6822916666669999
Snitz 1,12,6,0.0,0.630208333333
Snitz 1,12,7,0.0,0.7109375
Snitz 1,13,14,0.0,0.754807692308
Snitz 1,13,15,0.0,0.701923076923
Snitz 1,13,16,0.0,0.706730769231
Snitz 1,13,17,0.0,0.581730769231
Snitz 1,13,18,0.0,0.567307692308
Snitz 1,13,19,0.0,0.822115384615
Snitz 1,20,14,0.0,0.711538461538
Snitz 1,20,15,0.0,0.5336538461539999
Snitz 1,20,16,0.0,0.754807692308
Snitz 1,20,17,0.0,0.774038461538
Snitz 1,20,18,0.0,0.721153846154
Snitz 1,20,19,0.0,0.5336538461539999
Snitz 1,21,14,0.0,0.735576923077
Snitz 1,21,15,0.0,0.711538461538
Snitz 1,21,16,0.0,0.572115384615
Snitz 1,21,17,0.0,0.5144230769229999
Snitz 1,21,18,0.0,0.5336538461539999
Snitz 1,21,19,0.0,0.682692307692
Snitz 1,22,14,0.0,0.735576923077
Snitz 1,22,15,0.0,0.682692307692
Snitz 1,22,16,0.0,0.451923076923
Snitz 1,22,17,0.0,0.427884615385
Snitz 1,22,18,0.0,0.5
Snitz 1,22,19,0.0,0.793269230769
Snitz 1,23,14,0.0,0.754807692308
