CID,INTENSITY,PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,35.529411765,48.956521739,0.63043478261,24.347826087,6.2391304348,0.28260869565,1.6086956522,3.652173913,4.0,7.5,1.5869565217,2.847826087,0.91304347826,8.3043478261,1.5,1.8043478261,4.9782608696,1.2608695652,1.347826087,9.2608695652,14.239130435
176,18.785714286,48.461538462,2.5384615385,6.6923076923,1.2307692308,0.0,7.1923076923,8.2307692308,5.7692307692,15.307692308,3.8461538462,3.5,4.2307692308,6.7692307692,7.1538461538,3.6153846154,3.0384615385,1.8076923077,1.9615384615,4.1153846154,3.3846153846
177,42.894736842,45.315789474,8.4210526316,20.078947368,1.7631578947,0.0,0.63157894737,2.5,7.0,10.447368421,0.92105263158,4.4473684211,4.5263157895,3.4210526316,1.9473684211,3.7894736842,3.2631578947,1.0263157895,4.0,2.1842105263,18.789473684
240,77.489795918,61.87755102,17.408163265,43.265306122,28.489795918,0.40816326531,0.020408163265,6.3673469388,5.5510204082,2.8571428571,0.44897959184,2.306122449,6.6734693878,3.3265306122,0.081632653061,3.0816326531,0.22448979592,0.22448979592,1.7551020408,13.551020408,19.591836735
261,83.416666667,18.270833333,0.95833333333,0.97916666667,0.14583333333,3.7708333333,5.2708333333,6.0625,1.1666666667,23.8125,8.2708333333,10.958333333,4.7083333333,21.354166667,10.958333333,13.25,15.1875,1.3541666667,1.7083333333,0.95833333333,20.395833333
263,14.958333333,41.8,2.56,8.24,1.76,0.68,5.2,4.96,2.24,18.56,1.56,2.48,4.24,8.0,4.32,3.4,2.88,0.92,4.64,3.0,5.0
325,29.0,32.363636364,2.5227272727,2.4318181818,0.022727272727,4.8863636364,2.1363636364,23.613636364,5.3409090909,5.9090909091,6.2045454545,15.340909091,5.0,7.6363636364,4.5909090909,9.25,7.2045454545,2.9090909091,4.3181818182,1.75,16.045454545
326,57.046511628,50.465116279,5.3255813953,4.3488372093,1.488372093,2.4186046512,6.6046511628,24.697674419,0.093023255814,8.0,4.3255813953,1.0697674419,11.837209302,9.2558139535,0.06976744186,0.97674418605,4.2093023256,3.6976744186,2.0,3.5348837209,7.1162790698
454,65.5102,32.0833,0.0208,3.4792,3.125,0.0208,3.3542,3.9583,5.8958,11.2917,5.1875,6.4375,4.9375,14.5417,8.2083,,1.7292,5.4792,3.6875,3.3125,
460,59.662790698,38.817204301,4.0107526882,10.301075269,0.81720430108,2.1612903226,1.6989247312,7.064516129,5.3333333333,5.3225806452,8.4193548387,5.5806451613,4.8817204301,6.5053763441,2.4623655914,2.6021505376,4.0107526882,2.1827956989,4.0752688172,6.7956989247,21.064516129
650,80.5625,26.270833333,1.4166666667,2.7916666667,2.3125,0.020833333333,3.0208333333,7.7708333333,5.5,27.583333333,5.5,10.729166667,6.4583333333,14.208333333,9.2708333333,12.708333333,4.0833333333,2.9583333333,2.0416666667,0.1875,26.645833333
957,65.291666667,50.75,0.041666666667,11.9375,8.9583333333,0.041666666667,0.33333333333,1.4791666667,10.3125,8.2083333333,3.9375,10.458333333,1.0,10.25,1.1041666667,7.5833333333,1.75,2.7083333333,3.6875,9.0416666667,28.645833333
1032,27.08988764,39.222222222,1.3703703704,4.8148148148,2.462962963,1.0925925926,4.3888888889,4.962962963,2.6481481481,22.555555556,2.6851851852,5.0555555556,4.3518518519,12.759259259,5.2777777778,2.0,1.7222222222,1.4814814815,1.037037037,2.0185185185,13.425925926
1060,67.898,40.383,8.4681,19.7234,0.0213,1.2766,1.4468,6.3191,4.4043,9.8298,15.3617,5.9149,7.1064,9.7234,7.3617,,2.0426,6.3404,0.0213,0.6596,
1068,54.133333333,35.044444444,2.4444444444,8.1111111111,4.9333333333,6.8,4.8666666667,10.4,4.2666666667,14.311111111,0.42222222222,2.8,2.8,7.1111111111,7.2,2.9555555556,17.377777778,1.5777777778,5.6,1.6666666667,6.0666666667
1183,77.291666667,85.553191489,47.468085106,68.127659574,7.4255319149,0.021276595745,0.021276595745,13.0,0.89361702128,0.65957446809,1.4893617021,0.021276595745,19.70212766,0.51063829787,0.021276595745,0.021276595745,0.021276595745,1.3404255319,0.6170212766,5.8085106383,1.5957446809
2214,37.5,45.829787234,4.9787234043,10.914893617,4.3191489362,0.25531914894,3.2765957447,10.425531915,2.2978723404,9.5106382979,13.170212766,3.7021276596,10.978723404,7.7021276596,0.63829787234,2.6595744681,3.6382978723,5.6170212766,4.2127659574,3.9574468085,14.680851064
2758,71.468085106,61.0,2.8085106383,12.829787234,4.6595744681,0.021276595745,0.55319148936,6.085106383,13.808510638,3.4042553191,1.5744680851,6.7872340426,8.3617021277,3.4042553191,1.2340425532,4.5319148936,2.0212765957,0.021276595745,5.8723404255,13.361702128,30.382978723
2879,80.916666667,33.083333333,0.58333333333,4.4166666667,2.125,0.72916666667,0.77083333333,4.8125,8.6458333333,6.625,10.645833333,9.7708333333,7.8333333333,15.75,5.3125,13.270833333,10.854166667,2.4791666667,1.1041666667,2.375,31.25
2969,50.795454545,29.166666667,0.020833333333,2.6458333333,0.020833333333,1.2916666667,4.0,3.125,6.0833333333,8.5416666667,7.25,13.479166667,9.3125,11.541666667,7.5,7.3958333333,2.8333333333,11.354166667,2.0208333333,2.0416666667,26.520833333
3776,10.235294118,41.764705882,5.2941176471,1.5294117647,0.0,0.76470588235,4.7058823529,7.4117647059,5.1176470588,6.2352941176,5.3529411765,9.9411764706,6.7058823529,10.529411765,4.8235294118,2.3529411765,3.1764705882,4.5294117647,2.7058823529,0.0,13.235294118
4133,73.367346939,59.714285714,1.1020408163,25.571428571,3.4285714286,0.020408163265,0.020408163265,10.632653061,11.408163265,3.7959183673,0.71428571429,3.1020408163,5.5102040816,0.020408163265,0.87755102041,4.8979591837,1.6326530612,0.18367346939,4.2857142857,5.7551020408,22.836734694
6050,69.630434783,22.804347826,0.69565217391,0.82608695652,0.17391304348,4.9782608696,5.1739130435,1.1086956522,2.9347826087,24.847826087,3.2173913043,8.2826086957,5.8260869565,20.413043478,14.282608696,7.2173913043,14.739130435,5.347826087,3.8043478261,2.9347826087,9.0434782609
