CID,nCIR,ZM1,GNar,S1K,piPC08,MATS1v,MATS7v,GATS1v,Eig05_AEA_bo_,SM02_AEA_bo_,SM03_AEA_dm_,SM10_AEA_dm_,SM13_AEA_dm_,SpMin3_Bh_v_,RDF035v,G1m,G1v,G1e,G3s,R8u_,nRCOSR
126,1,40.0,1.876,5.984,0.0,0.066,0.614,0.817,1.114,3.75,-2.0,7.051,0.868,1.107,1.356,0.204,0.204,0.204,1.0,0.0,0
176,0,12.0,1.316,3.636,0.0,-0.158,0.0,1.267,0.0,2.565,0.0,4.0,0.0,0.284,0.124,0.25,0.25,0.25,1.0,0.0,0
177,0,8.50000000000009,1.295,2.961,0.0,-0.303999999999999,0.0,1.482,0.0,2.079,0.0,2.0,0.0,0.0,0.002,0.263,0.263,0.263,1.0,0.0,0
179,0,22.0,1.442,5.636,0.0,-0.095,0.0,1.37,-0.517,3.045,0.0,6.745,-2.0,0.971,1.396,0.208,0.208,0.208,0.235,0.0,0
180,0,12.0,1.316,3.675,0.0,-0.219,0.0,1.485,0.0,2.565,0.0,4.0,0.0,0.441,0.514,0.231,1.0,1.0,1.0,0.0,0
240,1,34.0,1.929,5.041,0.0,0.0,0.0,0.882,0.746,3.624,0.0,6.822,0.604,1.107,1.388,0.208,0.208,0.208,1.0,0.0,0
261,0,14.0,1.516,4.675,0.0,-0.165,0.0,1.488,0.0,2.639,0.0,2.732,-2.732,0.898,0.494,0.213,0.213,0.213,0.404,0.0,0
263,0,14.0,1.516,4.961,0.0,-0.131,0.0,1.611,0.0,2.398,0.0,2.732,-2.732,0.992,0.24,0.204,0.204,0.204,0.25,0.0,0
264,0,20.0,1.513,5.636,0.0,-0.095,0.0,1.37,-0.646,2.944,0.0,5.118,-2.0,0.953,0.374,0.208,0.208,0.208,0.377,0.0,0
307,1,42.0,1.943,6.752,4.275,0.0,0.165,0.907,2.116,3.839,-1.846,6.964,2.136,1.107,1.573,0.193,0.193,0.193,0.193,0.026,0
323,3,56.0,2.097,6.317,5.336,0.001,0.838,0.796,2.344,4.069,-1.224,9.178,2.985,1.129,2.386,0.197,0.197,0.197,1.0,0.0,0
325,1,50.0,1.849,8.28,0.0,0.028,-0.583,1.106,1.613,3.861,-1.517,8.221,2.275,1.397,4.411,0.177,0.177,0.177,0.177,0.029,0
326,1,50.0,1.849,7.997,0.0,0.0,-0.588,1.061,2.176,3.922,-1.517,8.221,2.275,1.308,4.145,0.233,0.181,0.181,1.0,0.033,0
454,0,30.0,1.714,8.675,1.099,-0.083,0.007,1.493,0.815,3.258,0.0,3.672,0.491,1.539,0.499,0.177,0.177,0.177,0.307,0.025,0
460,1,40.0,1.876,6.266,2.151,-0.003,1.055,0.977,0.933,3.676,-2.0,8.475,0.817,1.132,1.186,0.197,0.197,0.197,1.0,0.0,0
527,0,10.0,1.414,3.675,0.0,-0.219,0.0,1.485,0.0,2.398,0.0,2.0,0.0,0.624,0.493,0.231,0.231,0.231,0.837,0.0,0
612,0,22.0,1.442,5.597,0.0,-0.022,0.0,1.195,-0.517,3.045,0.0,6.745,-2.0,0.852,1.294,0.281,0.218,0.218,0.218,0.0,0
650,0,22.0,1.442,5.351,0.0,-0.14,0.0,1.272,-0.473,3.178,0.0,6.745,-2.0,0.825,0.565,0.218,1.0,1.0,1.0,0.0,0
660,3,56.0,2.097,6.56,4.875,0.008,0.804,0.895,1.922,4.016,-1.224,9.178,2.985,1.185,2.126,0.191,0.191,0.191,0.208,0.0,0
798,3,46.0,2.1785,4.768,5.645,0.06,0.0,0.784,1.847,3.902,-1.879,9.078,2.185,1.209,2.112,0.2,0.2,0.2,1.0,0.0,0
957,0,30.0,1.714,8.961,0.693,-0.063,-0.011,1.557,0.653,3.135,0.0,3.672,0.491,1.571,0.245,0.174,0.174,0.174,0.249,0.023,0
999,1,44.0,1.888,6.97,3.841,0.049,0.155,0.901,1.179,3.818,-1.826,7.243,2.136,1.107,2.991,0.193,0.212,0.193,0.193,0.029,0
1031,0,10.0,1.414,3.961,0.0,-0.177,0.0,1.645,0.0,2.079,0.0,2.0,0.0,0.728,0.236,0.281,0.314,0.218,0.251,0.0,0
1032,0,16.0,1.431,4.636,0.0,-0.119,0.0,1.334,0.0,2.773,0.0,4.842,-3.226,0.723,0.372,0.224,0.224,0.224,1.0,0.0,0
1060,0,22.0,1.442,5.312,0.0,-0.049,0.0,1.071,-0.473,3.178,0.0,6.745,-2.0,0.575,0.802,0.231,0.231,0.231,0.406,0.0,0
1068,0,8.50000000000009,1.295,3.351,0.0,-0.115,0.0,1.279,0.0,2.079,0.0,2.0,0.0,0.0,0.003,1.0,1.0,1.0,1.0,0.0,0
1127,1,20.0,2.0,3.538,0.0,0.044,0.0,1.088,-0.618,2.773,0.0,4.0,-3.226,0.756,0.941,0.213,1.0,1.0,1.0,0.0,0
1140,1,30.0,1.919,4.382,0.0,0.0,0.0,1.0,0.5,3.45,0.0,6.124,-0.838,1.107,1.057,0.204,0.204,0.204,0.656,0.0,0
1146,0,12.0,1.316,3.961,0.0,-0.303999999999999,0.0,1.696,0.0,2.303,0.0,4.0,0.0,1.308,0.275,0.242,0.242,0.242,0.213,0.0,0
1183,1,50.0,1.849,7.92,2.93,0.003,0.72,0.937,1.714,3.922,-1.618,8.746,1.069,1.335,1.335,0.191,0.191,0.191,1.0,0.0,0
1213,3,72.0,1.956,9.514,3.135,0.068,0.58,1.298,1.949,4.078,-1.203,16.58,3.115,1.649,8.079,0.163,0.193,0.163,0.179,0.0,0
2214,1,56.0,1.817,8.911,3.169,-0.001,-0.388,0.995,1.719,4.016,-1.236,8.995,2.9,1.508,1.605,0.183,0.211,0.183,0.211,0.053,0
2758,3,64.0,1.948,7.602,1.609,0.023,0.0,1.316,0.939,3.97,-1.253,13.163,2.372,1.496,8.185,0.218,0.218,0.239,1.0,0.0,0
2879,1,36.0,1.861,5.321,0.0,0.049,0.965,0.94,0.5,3.597,0.0,6.623,0.0,1.107,1.022,0.2,0.2,0.2,0.664,0.0,0
2969,0,44.0,1.74,11.636,1.792,-0.043,0.006,1.444,1.457,3.611,-1.328,5.184,1.813,1.675,0.378,0.167,0.167,0.167,0.485,0.018,0
3314,1,54.0,1.861,8.975,3.992,-0.005,0.22,1.03,1.744,3.98,-1.329,8.756,1.907,1.52,2.698,0.204,0.179,0.179,0.179,0.031,0
3776,0,12.0,1.316,3.961,0.0,-0.177,0.0,1.645,0.0,2.303,0.0,4.0,0.0,0.843,0.615,0.218,1.0,1.0,0.218,0.0,0
4133,1,50.0,1.849,7.92,3.663,0.003,0.513,0.937,1.479,3.922,-1.414,9.596,2.6,1.195,1.809,0.191,0.191,0.224,0.191,0.032,0
5634,0,48.0,1.758,12.377,2.079,-0.036,0.007,1.362,1.862,3.761,-1.0,5.184,2.168,1.69,0.64,0.165,0.165,0.165,0.214,0.019,0
6050,0,86.0,1.772,19.909,3.401,-0.11,0.075,1.391,2.177,4.331,0.274,7.433,5.306,1.877,4.759,0.153,0.153,0.168,0.153,0.015,0
6054,1,38.0,1.937,6.304,2.784,0.039,0.355,1.009,0.934,3.624,-2.0,6.951,1.684,1.107,1.833,0.191,0.208,0.208,0.191,0.031,0
6106,0,36.0,1.558,8.597,0.0,-0.009,0.649,1.338,0.414,3.466,0.0,7.607,-1.163,1.308,3.506,0.183,0.211,0.238,0.211,0.0,0
6184,0,22.0,1.641,6.675,0.0,-0.11,0.068,1.491,-0.136,2.996,0.0,3.414,-0.586,1.304,0.482,0.191,0.191,0.191,0.396,0.0,0
6276,0,18.0,1.587,5.961,0.0,-0.103,0.483,1.59,-0.675,2.639,0.0,3.162,-1.414,1.2,0.243,0.193,0.193,0.193,0.193,0.0,0
6305,3,76.0,1.993,10.051,6.247,0.128,-0.022,0.824,2.668,4.337,-0.837,10.31,3.758,1.601,6.75,0.174,0.195,0.174,0.195,0.05,0
