Dataset,Mixture 1,Mixture 2,Experimental Values
Bushdid,218,73,0.653846154
Snitz 2,1,8,0.640420003
Snitz 1,24,17,0.745192308
Snitz 2,12,14,0.608783615
Snitz 1,49,45,0.676136364
Snitz 1,20,16,0.754807692
Snitz 1,47,39,0.5625
Bushdid,261,30,0.730769231
Snitz 1,10,3,0.651041667
Bushdid,152,491,0.538461538
Snitz 2,3,4,0.448164066
Bushdid,209,70,0.653846154
Bushdid,381,464,0.461538462
Bushdid,469,472,0.346153846
Ravia 4,85,95,0.671875
Bushdid,3,318,0.807692308
Snitz 2,9,14,0.455659939
Ravia 4,41,51,0.354166667
Bushdid,163,434,0.307692308
Bushdid,408,369,0.423076923
Bushdid,140,110,0.538461538
Bushdid,343,518,0.846153846
Snitz 2,2,4,0.389479171
Bushdid,86,337,0.5
Bushdid,192,370,0.307692308
Bushdid,173,63,0.5
Bushdid,489,287,0.538461538
Bushdid,245,164,0.576923077
Bushdid,1,226,0.730769231
Snitz 2,7,13,0.560994228
Bushdid,486,7,0.5
Snitz 2,12,10,0.62904294
Bushdid,56,136,0.769230769
Bushdid,215,191,0.423076923
Ravia 4,7,17,0.428571429
Ravia 4,44,54,0.395833333
Bushdid,320,214,0.692307692
Snitz 1,47,41,0.534090909
Bushdid,475,160,0.769230769
Snitz 1,1,4,0.526041667
Bushdid,60,46,0.230769231
Bushdid,436,262,0.692307692
Ravia 4,30,40,0.910714286
Bushdid,435,20,0.230769231
Bushdid,197,507,0.576923077
Snitz 2,6,7,0.728967095
