Dataset,Mixture 1,Mixture 2,Mixture 1 (Challenge Mixture ID),Mixture 2 (Challenge Mixture ID),Experimental Similarity
Snitz 1,1,4,1,4,0.526041666667
Snitz 1,10,3,10,3,0.6510416666670000
Snitz 1,20,16,20,16,0.754807692308
Snitz 1,24,17,24,17,0.745192307692
Snitz 1,47,39,47,39,0.5625
Snitz 1,47,41,47,41,0.534090909091
Snitz 1,49,45,49,45,0.6761363636360000
Snitz 2,6,7,6,7,0.728967094619
Snitz 2,12,10,12,10,0.629042939731
Snitz 2,3,4,3,4,0.448164065689
Snitz 2,9,14,9,14,0.45565993858
Snitz 2,1,8,1,8,0.6404200025120000
Snitz 2,2,4,2,4,0.389479171047
Snitz 2,12,14,12,14,0.608783614917
Snitz 2,7,13,7,13,0.560994228333
Ravia 4,7,17,7,17,0.428571428571429
Ravia 4,30,40,30,40,0.910714285714286
Ravia 4,41,51,41,51,0.354166666666667
Ravia 4,44,54,44,54,0.3958333333333330
Ravia 4,85,95,85,95,0.671875
Bushdid,489,287,7,8,0.538461538461538
Bushdid,469,472,17,18,0.346153846153846
Bushdid,140,110,19,20,0.538461538461538
Bushdid,86,337,21,22,0.5
Bushdid,261,30,29,30,0.730769230769231
Bushdid,163,434,51,52,0.307692307692308
Bushdid,218,73,65,66,0.653846153846154
Bushdid,1,226,119,120,0.730769230769231
Bushdid,215,191,133,134,0.4230769230769230
Bushdid,152,491,135,136,0.538461538461538
Bushdid,197,507,139,140,0.576923076923077
Bushdid,475,160,167,168,0.769230769230769
Bushdid,60,46,171,172,0.2307692307692310
Bushdid,320,214,203,204,0.692307692307692
Bushdid,436,262,233,234,0.692307692307692
Bushdid,192,370,235,236,0.307692307692308
Bushdid,381,464,243,244,0.461538461538462
Bushdid,408,369,385,386,0.4230769230769230
Bushdid,435,20,429,430,0.2307692307692310
Bushdid,56,136,431,432,0.769230769230769
Bushdid,486,7,455,456,0.5
Bushdid,3,318,457,458,0.807692307692308
Bushdid,173,63,483,484,0.5
Bushdid,209,70,487,488,0.653846153846154
Bushdid,343,518,503,504,0.846153846153846
Bushdid,245,164,511,512,0.576923076923077
