Dataset,Mixture Label,CID,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9,CID.10,CID.11,CID.12,CID.13,CID.14,CID.15,CID.16,CID.17,CID.18,CID.19,CID.20,CID.21,CID.22,CID.23,CID.24,CID.25,CID.26,CID.27,CID.28,CID.29,CID.30,CID.31,CID.32,CID.33,CID.34,CID.35,CID.36,CID.37,CID.38,CID.39,CID.40,CID.41,CID.42,CID.43,CID.44,CID.45,CID.46,CID.47,CID.48,CID.49,CID.50,CID.51,CID.52,CID.53,CID.54,CID.55,CID.56,CID.57
Snitz 1,2,240,93009.0,323.0,8148.0,7762.0,3314.0,460.0,6184.0,798.0,6054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,5,10890,93009.0,11002.0,6982.0,323.0,8797.0,7966.0,8148.0,7632.0,31252.0,19310.0,7762.0,3314.0,460.0,6184.0,8892.0,8103.0,12178.0,5281168.0,798.0,443158.0,20859.0,7059.0,91497.0,999.0,10821.0,6544.0,7770.0,7714.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,6,7710,31276.0,10890.0,240.0,93009.0,11002.0,6982.0,323.0,8797.0,7966.0,8148.0,24915.0,7632.0,22201.0,31252.0,19310.0,7762.0,26331.0,2758.0,3314.0,460.0,8130.0,6184.0,8892.0,8103.0,12178.0,5281168.0,798.0,443158.0,20859.0,7059.0,62444.0,91497.0,999.0,10821.0,6054.0,6544.0,7770.0,7714.0,10430.0,,,,,,,,,,,,,,,,,,
Snitz 1,7,93009,460.0,443158.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,8,5283349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,9,7410,6501.0,264.0,5281515.0,6259976.0,307.0,7685.0,326.0,5283349.0,7749.0,7363.0,7888.0,7119.0,8635.0,8918.0,6736.0,8030.0,5634.0,7921.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,11,7991,61138.0,6654.0,8118.0,6736.0,8030.0,6989.0,10722.0,1140.0,5634.0,7921.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,12,7731,7749.0,7888.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,13,22201,7749.0,460.0,61016.0,7119.0,61138.0,999.0,10821.0,6054.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,14,323,7762.0,7363.0,7888.0,16666.0,8635.0,7059.0,7991.0,6736.0,8030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,15,7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,18,14286,7710.0,31276.0,10890.0,7600.0,7519.0,11002.0,6982.0,307.0,323.0,2879.0,7731.0,5283349.0,7583.0,7762.0,26331.0,3314.0,7363.0,8892.0,8103.0,7888.0,443158.0,16666.0,8635.0,7059.0,62444.0,91497.0,8918.0,957.0,18827.0,7991.0,7770.0,8118.0,6736.0,8030.0,6989.0,10722.0,5634.0,10430.0,7921.0,,,,,,,,,,,,,,,,,,
Snitz 1,19,7731,8892.0,7888.0,7059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,21,6501,264.0,6259976.0,8797.0,7685.0,7632.0,22201.0,2758.0,460.0,8129.0,5281168.0,62336.0,798.0,61016.0,20859.0,61138.0,10821.0,6054.0,1140.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,22,6501,62433.0,264.0,5281515.0,7685.0,326.0,7966.0,8148.0,24915.0,7632.0,22201.0,31252.0,19310.0,2758.0,8130.0,8129.0,6184.0,12178.0,798.0,61016.0,7119.0,20859.0,999.0,10821.0,6054.0,6544.0,6654.0,1140.0,7714.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,23,7410,6501.0,62433.0,240.0,93009.0,264.0,5281515.0,6259976.0,8797.0,7685.0,326.0,7966.0,8148.0,24915.0,7632.0,22201.0,31252.0,19310.0,7749.0,2758.0,460.0,8130.0,8129.0,6184.0,12178.0,5281168.0,62336.0,798.0,61016.0,7119.0,20859.0,61138.0,999.0,10821.0,6054.0,6544.0,6654.0,1140.0,7714.0,1183.0,,,,,,,,,,,,,,,,,,
Snitz 1,25,7600,62433.0,307.0,5283349.0,443158.0,8635.0,8918.0,999.0,6736.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,26,7410,10890.0,7519.0,7685.0,24915.0,26331.0,8129.0,16666.0,7770.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,27,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,28,7410,10890.0,93009.0,6259976.0,2879.0,8797.0,7685.0,24915.0,8103.0,5281168.0,7888.0,16666.0,18827.0,7991.0,6054.0,6654.0,7770.0,8030.0,5634.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,29,7410,10890.0,93009.0,11002.0,8797.0,7685.0,7731.0,7966.0,24915.0,7583.0,26331.0,5281168.0,7888.0,798.0,61016.0,16666.0,7119.0,20859.0,18827.0,7991.0,6054.0,6654.0,7770.0,8118.0,8030.0,1140.0,7714.0,5634.0,10430.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,30,7410,10890.0,7519.0,93009.0,11002.0,6259976.0,323.0,2879.0,8797.0,7685.0,7731.0,326.0,7966.0,24915.0,31252.0,7583.0,26331.0,460.0,8129.0,8103.0,5281168.0,7888.0,798.0,61016.0,16666.0,7119.0,20859.0,18827.0,7991.0,10821.0,6054.0,6654.0,7770.0,8118.0,8030.0,1140.0,7714.0,5634.0,10430.0,1183.0,,,,,,,,,,,,,,,,,,
Snitz 1,31,5281168,10890.0,2879.0,7966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,32,31276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,33,14286,7710.0,31276.0,7600.0,5281515.0,6982.0,5283349.0,7632.0,7762.0,3314.0,6184.0,443158.0,91497.0,8918.0,957.0,61138.0,999.0,6544.0,6989.0,7921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,34,14286,7710.0,31276.0,7600.0,62433.0,240.0,264.0,5281515.0,6982.0,307.0,5283349.0,7632.0,22201.0,19310.0,7749.0,2758.0,3314.0,6184.0,8892.0,443158.0,7059.0,91497.0,8918.0,957.0,61138.0,6544.0,6736.0,6989.0,10722.0,7921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,35,14286,6501.0,7710.0,31276.0,7600.0,62433.0,240.0,264.0,5281515.0,6982.0,307.0,5283349.0,8148.0,7632.0,22201.0,19310.0,7762.0,7749.0,2758.0,3314.0,7363.0,8130.0,6184.0,8892.0,12178.0,62336.0,443158.0,8635.0,7059.0,62444.0,91497.0,8918.0,957.0,61138.0,999.0,6544.0,6736.0,6989.0,10722.0,7921.0,,,,,,,,,,,,,,,,,,
Snitz 1,36,62433,7363.0,443158.0,61138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,37,14286,7600.0,3314.0,16666.0,91497.0,18827.0,7991.0,7770.0,6989.0,5634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,38,61199,10890.0,93009.0,264.0,6259976.0,24915.0,7762.0,460.0,8129.0,5281168.0,443158.0,8918.0,957.0,999.0,17100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,40,61199,6501.0,31276.0,10890.0,7519.0,240.0,93009.0,11002.0,6259976.0,2879.0,7685.0,7731.0,326.0,5283349.0,7583.0,460.0,8129.0,8892.0,12178.0,443158.0,4133.0,8918.0,957.0,61138.0,999.0,10821.0,6544.0,17100.0,11552.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,42,7410,7710.0,7600.0,62433.0,307.0,7749.0,3314.0,61016.0,16666.0,91497.0,6054.0,6654.0,8030.0,5634.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,43,7410,14286.0,7710.0,7600.0,62433.0,5281515.0,6982.0,22201.0,7749.0,3314.0,8130.0,8103.0,7888.0,16666.0,91497.0,6654.0,7770.0,5634.0,10430.0,7921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,44,6501,8797.0,326.0,26331.0,8129.0,12178.0,999.0,6544.0,6736.0,11552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,46,6501,460.0,999.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,48,7410,14286.0,7710.0,7600.0,62433.0,5281515.0,6982.0,307.0,323.0,8148.0,7632.0,22201.0,31252.0,19310.0,7749.0,2758.0,3314.0,7363.0,8130.0,6184.0,8103.0,62336.0,7888.0,798.0,61016.0,16666.0,7119.0,8635.0,7059.0,91497.0,18827.0,7991.0,6054.0,6654.0,7770.0,8118.0,8030.0,6989.0,1140.0,7714.0,5634.0,10430.0,7921.0,,,,,,,,,,,,,,,
Snitz 2,5,7410,240.0,93009.0,8635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,11,240,2758.0,8130.0,8129.0,5281168.0,7059.0,4133.0,8918.0,957.0,6654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,1,326,26331.0,1140.0,11002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,2,7410,240.0,93009.0,8635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,3,6544,62433.0,7519.0,7685.0,3314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,4,31276,8148.0,7762.0,18827.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,5,7519,8148.0,31252.0,8103.0,7710.0,11002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,6,7410,326.0,2758.0,62444.0,7770.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,7,240,637511.0,7731.0,2758.0,12178.0,62336.0,8635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,8,31276,62433.0,8129.0,12178.0,7519.0,18827.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,9,6544,93009.0,8130.0,8103.0,7710.0,7059.0,8918.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,10,7410,5281168.0,8797.0,7519.0,8129.0,7710.0,6654.0,8030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,11,62433,8797.0,2758.0,3314.0,8635.0,61138.0,11002.0,6054.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
